City ID,City,Country,Latitude,Longitude,Max Temperature,Humidity,Percent Clouds,Wind Speed,Description,Date
140,Nanortalik,GL,60.1432,-45.2371,35.76,89,43,7.2,scattered clouds,2021-06-13 01:56:55
141,Lebu,CL,-37.6167,-73.65,55.9,88,100,7.47,light rain,2021-06-13 01:56:56
142,Vagay,RU,57.9375,69.0217,64.54,54,99,7.23,overcast clouds,2021-06-13 01:56:56
143,San Cristobal,VE,7.7669,-72.225,75.38,99,94,4.16,overcast clouds,2021-06-13 01:56:56
144,Jian,CN,27.1172,114.9793,86.52,69,96,11.88,light rain,2021-06-13 01:56:57
145,San Quintin,MX,30.4833,-115.95,64.67,78,73,11.65,broken clouds,2021-06-13 01:56:57
146,Pedra Azul,BR,-16.0053,-41.2972,64.24,89,100,3.67,overcast clouds,2021-06-13 01:56:57
147,Iracoubo,GF,5.4802,-53.2011,76.37,88,48,4.83,scattered clouds,2021-06-13 01:56:58
148,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,53.69,93,7,6.42,clear sky,2021-06-13 01:56:58
149,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.69,76,78,9.22,broken clouds,2021-06-13 01:56:58
150,Saldanha,ZA,-33.0117,17.9442,58.12,73,3,4.05,clear sky,2021-06-13 01:56:59
151,Eldorado,BR,-23.7869,-54.2836,49.08,72,0,2.26,clear sky,2021-06-13 01:56:59
152,Plouzane,FR,48.3833,-4.6167,55.58,94,0,8.05,clear sky,2021-06-13 01:56:59
153,Flinders,AU,-34.5833,150.8552,65.05,55,1,7.0,clear sky,2021-06-13 01:57:00
154,Richards Bay,ZA,-28.783,32.0377,60.93,64,12,5.39,few clouds,2021-06-13 01:57:00
155,Binga,ZW,-17.6203,27.3414,54.23,54,0,2.68,clear sky,2021-06-13 01:57:00
156,Upernavik,GL,72.7868,-56.1549,34.77,86,93,6.51,overcast clouds,2021-06-13 01:57:01
157,Tura,IN,25.5198,90.2201,79.74,85,88,3.96,overcast clouds,2021-06-13 01:57:01
158,Sitka,US,57.0531,-135.33,57.29,66,100,4.45,overcast clouds,2021-06-13 01:57:01
159,Port Augusta,AU,-32.5,137.7667,63.72,46,78,13.44,broken clouds,2021-06-13 01:57:02
160,Carnarvon,AU,-24.8667,113.6333,62.67,62,3,5.75,clear sky,2021-06-13 01:57:02
161,Lohardaga,IN,23.4333,84.6833,76.86,81,100,3.02,overcast clouds,2021-06-13 01:57:02
162,Kavieng,PG,-2.5744,150.7967,85.28,67,5,13.31,clear sky,2021-06-13 01:57:03
163,Yulara,AU,-25.2406,130.9889,67.84,40,40,14.97,scattered clouds,2021-06-13 01:57:03
164,Teguise,ES,29.0605,-13.564,62.82,77,90,12.66,overcast clouds,2021-06-13 01:57:04
165,Lata,PT,40.1629,-8.3327,68.04,87,100,2.55,light rain,2021-06-13 01:57:04
166,Souillac,MU,-20.5167,57.5167,74.35,73,40,14.97,scattered clouds,2021-06-13 01:57:04
167,New Norfolk,AU,-42.7826,147.0587,59.67,80,74,1.99,broken clouds,2021-06-13 01:57:04
168,Panshi,CN,42.9422,126.0561,80.17,52,56,10.2,broken clouds,2021-06-13 01:57:05
169,Torbay,CA,47.6666,-52.7314,48.97,62,75,11.5,broken clouds,2021-06-13 01:57:05
170,Port Hedland,AU,-20.3167,118.5667,77.05,69,90,5.75,overcast clouds,2021-06-13 01:57:05
171,Chara,RU,56.9064,118.2631,54.03,60,99,1.7,overcast clouds,2021-06-13 01:57:06
172,Yar-Sale,RU,66.8333,70.8333,63.27,60,39,7.65,scattered clouds,2021-06-13 01:57:06
173,Chuy,UY,-33.6971,-53.4616,53.4,93,6,6.73,clear sky,2021-06-13 01:56:59
174,Abu Samrah,SY,35.3029,37.1841,64.74,62,0,9.19,clear sky,2021-06-13 01:57:07
175,Kapaa,US,22.0752,-159.319,82.38,71,27,4.0,scattered clouds,2021-06-13 01:57:07
176,Talcahuano,CL,-36.7167,-73.1167,53.28,100,90,3.44,overcast clouds,2021-06-13 01:57:07
177,Boda,CF,4.3189,17.4695,70.52,95,100,2.59,light rain,2021-06-13 01:57:08
178,Batouri,CM,4.4333,14.3667,67.21,99,100,3.62,light rain,2021-06-13 01:57:08
179,Kununurra,AU,-15.7667,128.7333,78.78,29,99,4.61,overcast clouds,2021-06-13 01:57:08
180,Myitkyina,MM,25.3833,97.4,80.91,87,90,0.54,overcast clouds,2021-06-13 01:57:09
181,Middelburg,ZA,-25.7751,29.4648,47.39,53,8,6.31,clear sky,2021-06-13 01:57:09
182,Nanzhang,CN,31.7765,111.8386,78.24,89,100,2.35,overcast clouds,2021-06-13 01:57:09
183,Tuatapere,NZ,-46.1333,167.6833,53.33,98,100,2.64,light rain,2021-06-13 01:57:10
